run,messages,batch_size,plugin_config,name,avg_byte_throughput,max_arena_size,max_in_use_size,max_mmap_size,close_time
2,small,default,mcap_nochunking,run=2;messages=small;batch_size=default;plugin_config=mcap_nochunking,175944139.3021855,0,29168,0,0.000262038
2,small,default,sqlite_default,run=2;messages=small;batch_size=default;plugin_config=sqlite_default,42516446.14847599,2191360,2166704,0,0.000148821
2,small,default,sqlite_resilient,run=2;messages=small;batch_size=default;plugin_config=sqlite_resilient,26634859.43375875,2207744,2161200,0,0.002602839
2,mixed,small,mcap_default,run=2;messages=mixed;batch_size=small;plugin_config=mcap_default,42001206.00396764,9547776,5094048,0,0.001339416
2,mixed,small,mcap_uncompressed,run=2;messages=mixed;batch_size=small;plugin_config=mcap_uncompressed,41969754.4682327,5283840,1951712,0,0.001508655
2,mixed,small,mcap_nocrc,run=2;messages=mixed;batch_size=small;plugin_config=mcap_nocrc,211242022.0575383,5283840,1952384,0,0.001351948
2,mixed,small,mcap_nochunking,run=2;messages=mixed;batch_size=small;plugin_config=mcap_nochunking,323604929.64118445,0,29424,0,0.000312763
2,mixed,small,sqlite_default,run=2;messages=mixed;batch_size=small;plugin_config=sqlite_default,50118223.737719074,3276800,2167216,0,0.000159439
2,mixed,small,sqlite_resilient,run=2;messages=mixed;batch_size=small;plugin_config=sqlite_resilient,41914825.713376425,3276800,2161152,0,0.005144948
2,mixed,default,mcap_default,run=2;messages=mixed;batch_size=default;plugin_config=mcap_default,84496909.01140885,9543680,5062000,0,0.001226637
2,mixed,default,mcap_uncompressed,run=2;messages=mixed;batch_size=default;plugin_config=mcap_uncompressed,83070850.18202034,5251072,1919552,0,0.001390879
2,mixed,default,mcap_nocrc,run=2;messages=mixed;batch_size=default;plugin_config=mcap_nocrc,296880846.6816553,5255168,1920272,0,0.001390931
2,mixed,default,mcap_nochunking,run=2;messages=mixed;batch_size=default;plugin_config=mcap_nochunking,827337928.9246548,0,29664,0,0.000260003
2,mixed,default,sqlite_default,run=2;messages=mixed;batch_size=default;plugin_config=sqlite_default,287740879.89154327,3227648,2167472,0,0.000161107
2,mixed,default,sqlite_resilient,run=2;messages=mixed;batch_size=default;plugin_config=sqlite_resilient,87974011.92405163,3227648,2161488,0,0.006142274
3,large,small,mcap_default,run=3;messages=large;batch_size=small;plugin_config=mcap_default,114457851.68694738,999424,1101888,2367488,0.000694265
3,large,small,mcap_uncompressed,run=3;messages=large;batch_size=small;plugin_config=mcap_uncompressed,112924890.8331281,1003520,1102752,0,0.000573569
3,large,small,mcap_nocrc,run=3;messages=large;batch_size=small;plugin_config=mcap_nocrc,1224222911.9894774,999424,1103216,0,0.000593918
3,large,small,mcap_nochunking,run=3;messages=large;batch_size=small;plugin_config=mcap_nochunking,1609982985.8125648,0,28784,0,0.00028858
3,large,small,sqlite_default,run=3;messages=large;batch_size=small;plugin_config=sqlite_default,826415605.5746499,1134592,2167136,0,0.000160102
3,large,small,sqlite_resilient,run=3;messages=large;batch_size=small;plugin_config=sqlite_resilient,355481365.330208,1134592,2161520,0,0.001346569
3,large,default,mcap_default,run=3;messages=large;batch_size=default;plugin_config=mcap_default,114291767.88554095,999424,1101888,2367488,0.000789368
3,large,default,mcap_uncompressed,run=3;messages=large;batch_size=default;plugin_config=mcap_uncompressed,112585162.00904042,1003520,1102752,0,0.000583858
3,large,default,mcap_nocrc,run=3;messages=large;batch_size=default;plugin_config=mcap_nocrc,1212240481.4628093,999424,1103216,0,0.000589552
3,large,default,mcap_nochunking,run=3;messages=large;batch_size=default;plugin_config=mcap_nochunking,1566202184.9119403,0,28784,0,0.000267709
3,large,default,sqlite_default,run=3;messages=large;batch_size=default;plugin_config=sqlite_default,819041070.7190748,1134592,2167136,0,0.000157567
3,large,default,sqlite_resilient,run=3;messages=large;batch_size=default;plugin_config=sqlite_resilient,99821680.0306132,1134592,2161488,0,0.004673026
3,medium,small,mcap_default,run=3;messages=medium;batch_size=small;plugin_config=mcap_default,117942831.1733277,0,150160,3727360,0.000925733
